1 2.8896930582e-05 2.0889869273e-05 -8.7200251145e-06 1.0000000000e+00 -2.2841482879e-07 3.4905001042e-07 -6.2648677728e-08 
4 1.1558772233e-04 8.3559477091e-05 -3.4880100458e-05 1.0000000000e+00 -9.1365931515e-07 1.3962000417e-06 -2.5059471091e-07 
7 2.0227851407e-04 1.4622908491e-04 -6.1040175801e-05 1.0000000000e+00 -1.5989038015e-06 2.4433500729e-06 -4.3854074410e-07 
10 2.8896930582e-04 2.0889869273e-04 -8.7200251145e-05 9.9999999999e-01 -2.2841482879e-06 3.4905001042e-06 -6.2648677728e-07 
13 3.7566009756e-04 2.7156830055e-04 -1.1336032649e-04 9.9999999998e-01 -2.9693927742e-06 4.5376501354e-06 -8.1443281046e-07 
16 4.6235088931e-04 3.3423790837e-04 -1.3952040183e-04 9.9999999998e-01 -3.6546372606e-06 5.5848001667e-06 -1.0023788436e-06 
19 5.4904168105e-04 3.9690751618e-04 -1.6568047718e-04 9.9999999997e-01 -4.3398817469e-06 6.6319501979e-06 -1.1903248768e-06 
22 6.3573247280e-04 4.5957712400e-04 -1.9184055252e-04 9.9999999996e-01 -5.0251262333e-06 7.6791002291e-06 -1.3782709100e-06 
25 7.2242326454e-04 5.2224673182e-04 -2.1800062786e-04 9.9999999994e-01 -5.7103707196e-06 8.7262502603e-06 -1.5662169432e-06 
28 8.0911405629e-04 5.8491633964e-04 -2.4416070321e-04 9.9999999993e-01 -6.3956152059e-06 9.7734002915e-06 -1.7541629763e-06 
31 8.9580484803e-04 6.4758594746e-04 -2.7032077855e-04 9.9999999991e-01 -7.0808596922e-06 1.0820550323e-05 -1.9421090095e-06 
34 9.8249563978e-04 7.1025555528e-04 -2.9648085389e-04 9.9999999990e-01 -7.7661041785e-06 1.1867700354e-05 -2.1300550427e-06 
37 1.0691864315e-03 7.7292516309e-04 -3.2264092924e-04 9.9999999988e-01 -8.4513486648e-06 1.2914850385e-05 -2.3180010758e-06 
40 1.1558772233e-03 8.3559477091e-04 -3.4880100458e-04 9.9999999986e-01 -9.1365931511e-06 1.3962000416e-05 -2.5059471090e-06 
43 1.2425680150e-03 8.9826437873e-04 -3.7496107992e-04 9.9999999984e-01 -9.8218376374e-06 1.5009150447e-05 -2.6938931422e-06 
46 1.3292588068e-03 9.6093398655e-04 -4.0112115527e-04 9.9999999981e-01 -1.0507082124e-05 1.6056300478e-05 -2.8818391753e-06 
49 1.4159495985e-03 1.0236035944e-03 -4.2728123061e-04 9.9999999979e-01 -1.1192326610e-05 1.7103450509e-05 -3.0697852085e-06 
52 1.5026403903e-03 1.0862732022e-03 -4.5344130595e-04 9.9999999976e-01 -1.1877571096e-05 1.8150600540e-05 -3.2577312416e-06 
55 1.5893311820e-03 1.1489428100e-03 -4.7960138130e-04 9.9999999973e-01 -1.2562815582e-05 1.9197750571e-05 -3.4456772747e-06 
58 1.6760219737e-03 1.2116124178e-03 -5.0576145664e-04 9.9999999970e-01 -1.3248060068e-05 2.0244900602e-05 -3.6336233079e-06 
61 1.7627127655e-03 1.2742820256e-03 -5.3192153198e-04 9.9999999967e-01 -1.3933304555e-05 2.1292050633e-05 -3.8215693410e-06 
64 1.8494035572e-03 1.3369516335e-03 -5.5808160733e-04 9.9999999964e-01 -1.4618549041e-05 2.2339200664e-05 -4.0095153741e-06 
67 1.9360943490e-03 1.3996212413e-03 -5.8424168267e-04 9.9999999960e-01 -1.5303793527e-05 2.3386350695e-05 -4.1974614072e-06 
70 2.0227851407e-03 1.4622908491e-03 -6.1040175801e-04 9.9999999956e-01 -1.5989038013e-05 2.4433500726e-05 -4.3854074403e-06 
73 2.1094759325e-03 1.5249604569e-03 -6.3656183336e-04 9.9999999953e-01 -1.6674282499e-05 2.5480650757e-05 -4.5733534734e-06 
76 2.1961667242e-03 1.5876300647e-03 -6.6272190870e-04 9.9999999949e-01 -1.7359526985e-05 2.6527800787e-05 -4.7612995065e-06 
79 2.2828575160e-03 1.6502996726e-03 -6.8888198405e-04 9.9999999944e-01 -1.8044771471e-05 2.7574950818e-05 -4.9492455396e-06 
82 2.3695483077e-03 1.7129692804e-03 -7.1504205939e-04 9.9999999940e-01 -1.8730015957e-05 2.8622100849e-05 -5.1371915727e-06 
85 2.4562390994e-03 1.7756388882e-03 -7.4120213473e-04 9.9999999936e-01 -1.9415260443e-05 2.9669250879e-05 -5.3251376057e-06 
88 2.5429298912e-03 1.8383084960e-03 -7.6736221008e-04 9.9999999931e-01 -2.0100504929e-05 3.0716400910e-05 -5.5130836388e-06 
91 2.6296206829e-03 1.9009781038e-03 -7.9352228542e-04 9.9999999926e-01 -2.0785749415e-05 3.1763550940e-05 -5.7010296719e-06 
94 2.7163114747e-03 1.9636477116e-03 -8.1968236076e-04 9.9999999921e-01 -2.1470993900e-05 3.2810700971e-05 -5.8889757049e-06 
97 2.8030022664e-03 2.0263173195e-03 -8.4584243611e-04 9.9999999916e-01 -2.2156238386e-05 3.3857851001e-05 -6.0769217379e-06 
100 2.8896930582e-03 2.0889869273e-03 -8.7200251145e-04 9.9999999911e-01 -2.2841482872e-05 3.4905001032e-05 -6.2648677710e-06 
103 2.9763838499e-03 2.1516565351e-03 -8.9816258679e-04 9.9999999906e-01 -2.3526727358e-05 3.5952151062e-05 -6.4528138040e-06 
106 3.0630746417e-03 2.2143261429e-03 -9.2432266214e-04 9.9999999900e-01 -2.4211971844e-05 3.6999301092e-05 -6.6407598370e-06 
